regional key;city;area in km²;population
064360008008;Kelkheim (Taunus);30.73;28175.0
057620020020;Höxter;158.16;28166.0
053700040040;Wegberg;84.34;28089.0
034600006006;Lohne (Oldenburg);91.11;28089.0
053780016016;Leichlingen (Rheinland);37.26;28078.0
071310007007;Bad Neuenahr-Ahrweiler;63.25;27961.0
059540024024;Schwelm;20.50;27953.0
066330003003;Baunatal;38.27;27929.0
097720163163;Königsbrunn;18.48;27879.0
064310011011;Heppenheim (Bergstraße);52.12;27864.0
081175004024;Geislingen an der Steige;75.83;27791.0
084255005033;Ehingen (Donau);178.33;27764.0
082265010098;Wiesloch;30.24;27731.0
120640472472;Strausberg;67.94;27719.0
120690616616;Teltow;21.59;27682.0
059580044044;Sundern (Sauerland);193.27;27654.0
147290160160;Grimma;218.23;27529.0
031550011011;Northeim;145.85;27326.0
091790142142;Olching;29.92;27310.0
051700028028;Neukirchen-Vluyn;43.50;27140.0
033610012012;Verden (Aller);71.70;27121.0
081190091091;Weinstadt;31.71;27074.0
120690656656;Werder (Havel);117.12;27065.0
064400005005;Butzbach;106.60;27046.0
091860143143;Pfaffenhofen a.d.Ilm;92.63;26996.0
053820048048;Rheinbach;69.72;26918.0
051700012012;Hamminkeln;164.53;26873.0
082260041041;Leimen;20.64;26873.0
120650144144;Hohen Neuendorf;48.56;26857.0
057700020020;Lübbecke;65.04;26815.0
082365004040;Mühlacker;54.32;26787.0
083175001001;Achern;65.24;26733.0
120650136136;Hennigsdorf;31.48;26677.0
053780024024;Overath;68.88;26663.0
094770128128;Kulmbach;92.77;26625.0
064320023023;Weiterstadt;34.40;26583.0
081255008065;Neckarsulm;24.94;26431.0
057540036036;Schloß Holte-Stukenbrock;67.52;26297.0
051580012012;Heiligenhaus;27.52;26252.0
095730134134;Zirndorf;28.79;26243.0
081180081081;Remseck am Neckar;22.82;26188.0
095740138138;Lauf a.d.Pegnitz;59.86;26106.0
059540032032;Wetter (Ruhr);31.55;26090.0
091730126126;Geretsried;24.60;25997.0
059780032032;Selm;60.41;25969.0
147300070070;Delitzsch;85.92;25895.0
034610007007;Nordenham;87.77;25889.0
064340002002;Friedrichsdorf;30.13;25871.0
097760116116;Lindau (Bodensee);33.06;25845.0
057540044044;Verl;71.37;25762.0
091830148148;Waldkraiburg;21.56;25737.0
064390008008;Idstein;79.76;25736.0
081265005066;Öhringen;67.79;25673.0
082375003040;Horb am Neckar;119.76;25651.0
150890015015;Aschersleben;156.83;25647.0
032570031031;Rinteln;109.02;25602.0
057700008008;Espelkamp;84.21;25576.0
057540016016;Harsewinkel;100.59;25523.0
095760143143;Roth;96.33;25458.0
100460117117;St. Wendel;113.54;25441.0
057740036036;Salzkotten;109.80;25429.0
059580012012;Brilon;229.16;25424.0
064320018018;Pfungstadt;42.54;25415.0
150870370370;Sangerhausen;208.46;25392.0
064330006006;Groß-Gerau;54.47;25388.0
073390005005;Bingen am Rhein;37.68;25384.0
010590075075;Schleswig;24.30;25352.0
057700028028;Petershagen;211.94;25340.0
147290260260;Markkleeberg;31.47;25331.0
053620004004;Bedburg;80.42;25316.0
064380010010;Obertshausen;13.62;25316.0
146260610610;Zittau;66.75;25286.0
032510041041;Syke;128.11;25270.0
055580024024;Lüdinghausen;140.54;25265.0
082150109109;Stutensee;45.68;25259.0
034520019019;Norden;106.33;25178.0
053740048048;Wiehl;53.26;25164.0
031540028028;Helmstedt;66.74;25099.0
120630252252;Rathenow;113.10;25087.0
053820008008;Bad Honnef;48.14;25061.0
083375007126;Waldshut-Tiengen;77.96;25019.0
160665050042;Meiningen;123.03;25002.0
082355006085;Calw;59.88;25001.0
081365003019;Ellwangen (Jagst);127.38;25001.0
059740044044;Warstein;158.05;24988.0
083255003049;Rottweil;71.76;24985.0
084365005082;Weingarten;12.16;24940.0
053820032032;Meckenheim;34.84;24925.0
160730076076;Rudolstadt;135.17;24852.0
010620004004;Bad Oldesloe;52.59;24846.0
059580040040;Schmallenberg;303.10;24711.0
034550026026;Varel;113.75;24704.0
120670120120;Eisenhüttenstadt;63.47;24703.0
059660024024;Olpe;85.88;24695.0
091880139139;Starnberg;61.85;24471.0
082375002028;Freudenstadt;87.54;24464.0
082255005058;Mosbach;62.16;24459.0
059620052052;Plettenberg;96.75;24429.0
034540018018;Haren (Ems);208.79;24365.0
053700028028;Übach-Palenberg;26.09;24277.0
059660020020;Lennestadt;135.59;24238.0
095720132132;Herzogenaurach;47.62;24237.0
059540028028;Sprockhövel;47.94;24232.0
084365004055;Leutkirch im Allgäu;174.97;24226.0
150820180180;Köthen (Anhalt);77.85;24110.0
010540056056;Husum;25.80;24090.0
081285001007;Bad Mergentheim;129.96;24023.0
034510007007;Westerstede;179.55;23938.0
051620012012;Jüchen;71.77;23926.0
082355007046;Nagold;63.10;23864.0
145220080080;Döbeln;91.75;23819.0
032410014014;Ronnenberg;37.82;23814.0
145245114180;Limbach-Oberfrohna;50.21;23673.0
097750152152;Senden;25.21;23641.0
059660004004;Attendorn;97.92;23554.0
010600044044;Kaltenkirchen;23.11;23502.0
031590017017;Hann. Münden;121.17;23478.0
120660304304;Senftenberg/Zły Komorow;127.56;23466.0
032410016016;Sehnde;103.58;23431.0
097720147147;Gersthofen;34.01;23427.0
064350010010;Gelnhausen;45.15;23290.0
091900157157;Weilheim i.OB;55.50;23279.0
057620036036;Warburg;168.84;23252.0
096720114114;Bad Kissingen;69.92;23223.0
150890310310;Staßfurt;147.18;23181.0
084155002050;Metzingen;34.55;23178.0
064330011011;Riedstadt;73.73;23146.0
150850235235;Quedlinburg;120.79;23139.0
033570039039;Rotenburg (Wümme);99.06;23117.0
064360001001;Bad Soden am Taunus;12.50;23103.0
055540068068;Vreden;135.83;23099.0
059700032032;Netphen;137.39;23080.0
065320006006;Dillenburg;83.76;22974.0
150810455455;Salzwedel;306.15;22964.0
096750141141;Kitzingen;46.99;22936.0
097720184184;Neusäß;25.22;22904.0
066350015015;Korbach;124.11;22901.0
081280131131;Wertheim;138.59;22874.0
160720018018;Sonneberg;84.69;22843.0
084265005070;Laupheim;61.79;22839.0
160710001001;Apolda;46.26;22787.0
059540020020;Herdecke;22.39;22772.0
